TSN,Suburb,Interchange Type,SITE_ID,Location,Type,Total Lockers at Location,Total Spaces at Shed,Horizontal Rack Spaces,Wall Mounted Low Spaces,Wall Mounted High Spaces,Latitude,Longitude
215020,Parramatta,Station,177,Parramatta Station (Cnr Hassall & Station St),Bike Shed,,55,28,13,14,-33.81805331,151.0063347
201710,Green Square,Station,,"Green Square (O'Riordan St and Botany Rd, Alexandria), Green Square",Bike Shed,,51,26,12,13,-33.905986,151.202563
276220,Schofields,Station,185,Schofields Station (Railway Terrace),Bike Shed,,51,26,13,12,-33.70388787,150.8738041
225610,Woy Woy,Station,173,"Woy Woy Station  (Brisbane Water Dr) 1, Woy Woy",Bike Shed,,51,26,13,12,-33.48482696,151.323968
213110,Ashfield,Station,,"Ashfield Station (Brown Street), Ashfield",Bike Shed,,50,50,,,-33.88823,151.12688
202710,Edgecliff,Station,,"Edgecliff Train Station , Edgecliff ",Bike Shed,,48,24,12,12,-33.87873,151.23629
223210,Sutherland,Station,189,"Sutherland Station (East Pde) 1, Sutherland",Bike Shed,,40,20,10,10,-34.0326404,151.0562419
225040,Gosford,Station,179,Gosford Station (Burns Cres),Bike Shed,,38,8,14,16,-33.42392901,151.3417883
277010,Mount Druitt,Station,186,Mount Druitt Station (North Pde),Bike Shed,,37,20,8,9,-33.76921583,150.8187147
2126158,Cherrybrook,Station,,"Cherrybrook Station, Cherrybrook",Bike Shed,,36,36,,,-33.73672,151.03188
2155382,Kellyville,Station,,"Kellyville Station, Kellyville",Bike Shed,,36,36,,,-33.71223,150.93394
2153477,Norwest,Station,,"Norwest Station, Norwest",Bike Shed,,36,36,,,-33.73459,150.9636
2155227,Rouse HIll,Station,,"Rouse Hill Station, Rouse Hill",Bike Shed,,36,36,,,-33.69092,150.92347
2154392,"Showground 
",Station,,"Showground Station, Showground",Bike Shed,,36,36,,,-33.72813,150.98649
2155384,Tallawong,Station,,"Tallawong Station, Tallawong",Bike Shed,,36,36,,,-33.69167,150.9064
212110,Epping,Station,,"Epping Station  (Langston Pl), Epping",Bike Shed,,34,6,14,14,-33.773518,151.082757
207720,Hornsby,Station,,"Hornsby Station  (Cnr Station & Jersey St), Hornsby",Bike Shed,,33,18,8,7,-33.70366,151.09865
214810,Blacktown,Station,174,"Blacktown Station  (Main St), Blacktown",Bike Shed,,32,16,8,8,-33.76867455,150.9066168
275020,Emu Plains,Station,191,Emu Plains Station (Mackellar St),Bike Shed,,32,16,8,8,-33.74553079,150.6715404
275010,Penrith,Station,188,Penrith Station (Belmore St),Bike Shed,,32,16,8,8,-33.75035953,150.6946401
201510,Redfern,Station,192,Redfern Station (Lawson St),Bike Shed,,32,32,,,-33.891874,151.1994
210020,Brookvale,Station,,"Brookvale (William St), Brookvale",Bike Shed,,32,32,,,-33.76807,151.269
217020,Liverpool,Station,178,Liverpool Station (Bigge St),Bike Shed,,31,16,7,8,-33.92453608,150.9273781
256510,Ingleburn,Station,193,Ingleburn Station (Ingleburn Rd),Bike Shed,,28,28,,,-33.99805032,150.8641962
256020,Campbelltown,Station,175,"Campbelltown Station  (Hurley St), Campbelltown",Bike Shed,,27,12,7,8,-34.064658,150.8136527
2153478,Bella Vista,Station,,"Bella Vista Station, Bella Vista",Bike Shed,,26,26,,,-33.73018,150.94373
220410,Marrickville,Station,184,Marrickville Station (Station St),Bike Shed,,25,16,5,4,-33.91403454,151.1532033
222910,Caringbah,Station,180,"Caringbah Station (Kingsway), Caringbah",Bike Shed,,24,12,6,6,-34.04170579,151.1210076
217310,Holsworthy,Station,181,Holsworthy Station (The Boulevarde),Bike Shed,,24,12,6,6,-33.96281686,150.9563172
213820,Rhodes,Station,,"Rhodes Station (Blaxland Road), Rhodes",Bike Shed,,24,12,6,6,-33.830413,151.087312
214710,Seven Hills,Station,182,Seven Hills Station (Terminus Rd),Bike Shed,,24,12,6,6,-33.77390333,150.9368647
256030,Macarthur,Station,187,Macarthur Station (Menangle Rd),Bike Shed,,21,12,5,4,-34.0721,150.79744
211420,West Ryde,Station,183,West Ryde Station (West Parade),Bike Shed,,19,7,6,6,-33.80703026,151.0900442
203294,Kingsford,Station,,"Kingsford, Kingsford",Bike Shed,,18,18,,,-33.92566,151.23006
2154190,Castle Hill,Station,,"Castle Hill Station, Castle Hill",Bike Shed,,16,16,,,-33.73162,151.00731
2093117,Manly Vale,Station,,"84 Kenneth Rd, Manly Vale",Bike Shed,,12,12,,,-33.78645,151.26715
2101131,Warriewood,Station,,"Warriewood, Warriewood",Bike Shed,,12,12,,,-33.696702,151.301627
206410,Artarmon,Station,3,Artarmon Station (Elizabeth St),Bike Locker,8,,,,,-33.80850503,151.1853695
213110,Ashfield,Station,172,Ashfield Station (Brown St),Bike Locker,2,,,,,-33.8878964,151.1260019
214410,Auburn,Station,5,Auburn Station (South Pde),Bike Locker,8,,,,,-33.8489888,151.0322453
220010,Bankstown,Station,8,Bankstown Station (South Tce),Bike Locker,2,,,,,-33.91793683,151.0355403
211910,Beecroft,Station,9,Beecroft Station (cnr Sutherland & Copeland Rds),Bike Locker,4,,,,,-33.75082831,151.0662553
208110,Berowra,Station,11,Berowra Station (Pacific Hwy),Bike Locker,12,,,,,-33.62280866,151.1538247
